ID;Edad de la Persana Testing;Ingrediente_1;Ingrediente_2;Ingrediente_3;Sodio en mg;Gramos de aspartamo;Azucar Gramos;Gramos entre Azucar y otros endulcorantes;Densidad;pH;Litros de Cafeina;Grado de Colorante
4789;20;6.6;0.19;0.33;1.8;0.035;42;148;0.99196;2.15;0.36;10.2
4790;21;5.8;0.28;0.3;1.5;0.026;31;114;0.98952;2.32;0.6;12.5
4791;18;7.6;0.24;0.44;3.8;0.037;49;146;0.9911;2.06;0.37;11.6
4792;21;8.3;0.16;0.37;7.9;0.025;38;107;0.99306;1.93;0.37;11.9
4793;18;5.5;0.12;0.33;1;0.038;23;131;0.99164;2.25;0.45;9.8
4794;17;5.7;0.16;0.32;1.2;0.036;7;89;0.99111;2.26;0.48;11
4795;26;7;0.21;0.42;5.3;0.037;36;123;0.99321;2.14;0.52;10.9
4796;26;6.4;0.22;0.38;9.1;0.044;35;127;0.99326;1.97;0.3;11
4797;23;7.9;0.34;0.44;6.5;0.027;47;126;0.99124;1.96;0.37;12.5
4798;16;6.4;0.22;0.38;9.1;0.044;35;127;0.99326;1.97;0.3;11
4799;30;6.8;0.21;0.4;6.3;0.032;40;121;0.99214;2.18;0.53;12
4800;27;5.2;0.31;0.36;5.1;0.031;46;145;0.9897;2.14;0.31;12.4
4801;24;7.9;0.34;0.44;6.5;0.027;47;126;0.99124;1.96;0.37;12.5
4802;30;5.6;0.42;0.34;2.4;0.022;34;97;0.98915;2.22;0.38;12.8
4803;20;6.4;0.22;0.38;9.1;0.044;35;127;0.99326;1.97;0.3;11
4804;21;6.8;0.28;0.34;7.5;0.035;34;177;0.99692;2.33;0.43;9.1
4805;17;6.8;0.45;0.36;5;0.033;28;156;0.991;2.11;0.4;12.4
4806;10;6.6;0.29;0.39;6.75;0.031;22;98;0.9913;2.15;0.8;12.9
4807;30;6.8;0.21;0.42;1.2;0.045;24;126;0.99234;2.09;0.87;10.9
4808;25;6.8;0.25;0.24;1.6;0.045;39;164;0.99402;2.53;0.58;10.8
4809;11;6.4;0.21;0.34;16.05;0.04;56;142;0.99678;2.11;0.38;10.6
4810;27;5.8;0.33;0.23;5;0.053;29;106;0.99458;2.13;0.52;9
4811;21;8.2;0.3;0.44;12.4;0.043;52;154;0.99452;2.04;0.33;12
4812;25;6.4;0.24;0.32;0.95;0.041;23;131;0.99033;2.25;0.35;11.8
4813;22;7.5;0.18;0.45;4.6;0.041;67;158;0.9927;2.01;0.38;10.6
4814;22;5.2;0.335;0.2;1.7;0.033;17;74;0.99002;2.34;0.48;12.3
4815;21;7.1;0.14;0.33;1;0.104;20;54;0.99057;2.19;0.64;11.5
4816;30;7.2;0.13;0.46;1.3;0.044;48;111;0.99127;1.97;0.45;11.1
4817;24;5.8;0.33;0.23;5;0.053;29;106;0.99458;2.13;0.52;9
4818;30;6.5;0.29;0.25;2.5;0.142;8;111;0.9927;2;0.44;9.9
4819;30;6.2;0.35;0.31;2.6;0.036;37;92;0.98938;2.27;0.53;12.8
4820;10;9;0.38;0.53;2.1;0.102;19;76;0.99001;1.93;0.57;12.9
4821;16;6.6;0.24;0.38;12.75;0.034;8;74;0.99386;2.1;0.57;12.9
4822;23;6.6;0.16;0.34;1.1;0.037;41;115;0.9899;2.01;0.68;12
4823;16;8.2;0.3;0.44;12.4;0.043;52;154;0.99452;2.04;0.33;12
4824;25;5.7;0.15;0.28;3.7;0.045;57;151;0.9913;2.22;0.27;11.2
4825;10;6.6;0.33;0.4;2.65;0.041;35;86;0.98916;2.11;0.39;13.3
4826;13;5.7;0.2;0.3;2.5;0.046;38;125;0.99276;2.34;0.5;9.9
4827;26;6.8;0.27;0.37;8.2;0.055;52;192;0.99586;2.11;0.52;9.5
4828;22;6.8;0.27;0.42;7.3;0.054;58;200;0.99556;2.12;0.49;9.4
4829;22;6.2;0.2;0.26;1.1;0.047;42;119;0.99158;2.48;0.6;11
4830;22;6.7;0.13;0.57;6.6;0.056;60;150;0.99548;1.96;0.43;9.4
4831;28;6.8;0.21;0.37;7;0.038;27;107;0.99206;1.98;0.82;11.5
4832;19;6.7;0.31;0.32;14.5;0.038;6;79;0.99412;2.14;0.34;12.5
4833;13;6.2;0.2;0.29;11.8;0.035;21;93;0.99364;2.18;0.34;11.9
4834;17;6.6;0.25;0.34;3;0.054;22;141;0.99338;2.26;0.47;10.4
4835;26;5.7;0.15;0.28;3.7;0.045;57;151;0.9913;2.22;0.27;11.2
4836;24;6.9;0.22;0.39;6;0.035;44;141;0.99123;2.11;0.33;12.5
4837;10;6.4;0.23;0.35;4.6;0.039;43;147;0.99216;2.18;0.4;11
4838;15;7.6;0.27;0.29;2.5;0.059;37;115;0.99328;2.09;0.37;9.8
4839;30;6.6;0.34;0.24;3.3;0.034;29;99;0.99031;2.1;0.4;12.3
4840;10;6.4;0.16;0.42;1;0.036;29;113;0.9908;2.18;0.52;11
4841;18;5.8;0.3;0.42;1.1;0.036;19;113;0.98871;2.1;0.46;12.6
4842;24;7;0.29;0.35;1.4;0.036;42;109;0.99119;2.31;0.62;11.6
4843;30;6.6;0.34;0.24;3.3;0.034;29;99;0.99031;2.1;0.4;12.3
4844;11;6.7;0.21;0.36;8.55;0.02;20;86;0.99146;2.19;0.22;13.4
4845;14;7.6;0.27;0.29;2.5;0.059;37;115;0.99328;2.09;0.37;9.8
4846;12;6.8;0.22;0.41;6.7;0.034;39;116;0.99245;2.18;0.46;11.5
4847;27;7.7;0.27;0.49;3.8;0.037;46;139;0.99116;2.04;0.38;11.6
4848;27;6.4;0.25;0.37;4.5;0.039;41;147;0.9921;2.18;0.4;11.1
4849;25;6.4;0.23;0.35;4.6;0.039;43;147;0.99216;2.18;0.4;11
4850;17;6.7;0.13;0.45;4.2;0.043;52;131;0.99162;2.06;0.54;11.3
4851;26;6.7;0.24;0.37;11.3;0.043;64;173;0.99632;2.08;0.53;9.9
4852;29;7.1;0.26;0.37;5.5;0.025;31;105;0.99082;2.06;0.33;12.6
4853;18;5.3;0.3;0.16;4.2;0.029;37;100;0.9905;2.3;0.36;11.8
4854;10;7.1;0.38;0.4;2.2;0.042;54;201;0.99177;2.03;0.5;11.4
4855;13;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;2.1;0.5;9.2
4856;11;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;2.1;0.5;9.2
4857;30;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;2.1;0.5;9.2
4858;19;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;2.1;0.5;9.2
4859;27;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;2.1;0.5;9.2
4860;15;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;2.1;0.5;9.2
4861;29;6.3;0.32;0.32;1.5;0.03;24;101;0.98923;2.21;0.42;13
4862;20;7.6;0.19;0.32;18.75;0.047;32;193;1.00014;2.1;0.5;9.3
4863;29;6.5;0.26;0.31;3.6;0.03;36;92;0.99026;2.22;0.62;12.6
4864;22;5.9;0.24;0.12;1.4;0.035;60;247;0.99358;2.34;0.44;9.6
4865;10;4.2;0.215;0.23;5.1;0.041;64;157;0.99688;2.42;0.44;8
4866;20;8.1;0.24;0.32;10.5;0.03;34;105;0.99407;2.11;0.42;11.8
4867;26;5.8;0.23;0.2;2;0.043;39;154;0.99226;2.21;0.39;10.2
4868;30;7.5;0.33;0.36;2.6;0.051;26;126;0.99097;2.32;0.53;12.7
4869;16;6.6;0.38;0.36;9.2;0.061;42;214;0.9976;2.31;0.56;9.4
4870;18;6.4;0.15;0.29;1.8;0.044;21;115;0.99166;2.1;0.38;10.2
4871;22;6.5;0.32;0.34;5.7;0.044;27;91;0.99184;2.28;0.6;12
4872;21;7.5;0.22;0.32;2.4;0.045;29;100;0.99135;2.08;0.6;11.3
4873;18;6.4;0.23;0.32;1.9;0.038;40;118;0.99074;2.32;0.53;11.8
4874;30;6.1;0.22;0.31;1.4;0.039;40;129;0.99193;2.45;0.59;10.9
4875;11;6.5;0.48;0.02;0.9;0.043;32;99;0.99226;2.14;0.47;9.8
4876;29;6.6;0.23;0.3;4.6;0.06;29;154;0.99142;2.23;0.49;12.2
4877;10;6.4;0.16;0.25;1.4;0.057;21;125;0.99091;2.23;0.44;11.1
4878;29;6.6;0.38;0.36;9.2;0.061;42;214;0.9976;2.31;0.56;9.4
4879;24;7.4;0.16;0.32;1.4;0.065;23;140;0.99134;2.06;0.47;11.4
4880;24;6.4;0.15;0.29;1.8;0.044;21;115;0.99166;2.1;0.38;10.2
4881;13;6.5;0.32;0.3;2.3;0.051;20;127;0.98964;2.13;0.52;12.8
4882;29;6.7;0.12;0.36;2.3;0.039;43;125;0.99229;2.07;0.67;10.1
4883;16;6.6;0.2;0.14;4.4;0.184;35;168;0.99396;1.93;0.45;9.4
4884;21;8;0.34;0.25;6.4;0.035;38;103;0.99148;1.91;0.23;12.2
4885;24;6.8;0.21;0.31;2.9;0.046;40;121;0.9913;2.07;0.65;10.9
4886;16;6.8;0.23;0.31;2.8;0.047;40;122;0.99126;2.06;0.64;10.9
4887;14;6.8;0.21;0.31;2.9;0.046;40;121;0.9913;2.07;0.65;10.9
4888;30;6.6;0.2;0.14;4.4;0.184;35;168;0.99396;1.93;0.45;9.4
4889;22;6.6;0.28;0.42;8.2;0.044;60;196;0.99562;2.14;0.48;9.4
4890;26;7.8;0.25;0.37;1;0.043;10;80;0.99128;2.08;0.38;11.4
4891;28;5.6;0.12;0.33;2.9;0.044;21;73;0.98896;2.17;0.32;12.9
4892;15;6.6;0.28;0.41;7;0.046;59;194;0.99558;2.14;0.48;9.4
4893;20;6.8;0.17;0.35;1.8;0.04;29;84;0.98961;1.91;0.57;12
4894;27;7.3;0.25;0.28;1.5;0.043;19;113;0.99338;2.38;0.56;10.1
4895;17;6.6;0.28;0.41;7;0.046;59;194;0.99558;2.14;0.48;9.4
4896;23;6.6;0.28;0.42;8.2;0.044;60;196;0.99562;2.14;0.48;9.4
4897;29;6.5;0.25;0.5;7.6;0.047;54;184;0.99572;2.17;0.45;9.2
4898;10;6.3;0.24;0.35;2.3;0.039;43;109;0.99056;2.34;0.44;11.8
4899;13;6.8;0.32;0.32;8.7;0.029;31;105;0.99146;2;0.34;12.3
4900;11;7.8;0.25;0.37;1;0.043;10;80;0.99128;2.08;0.38;11.4
4901;19;5.6;0.12;0.33;2.9;0.044;21;73;0.98896;2.17;0.32;12.9
4902;20;6.6;0.24;0.28;6.7;0.032;26;91;0.99172;2.13;0.32;12.3
4903;27;6.3;0.22;0.34;5;0.032;36;93;0.99012;2.27;0.36;13.5
4904;18;6;0.32;0.3;1.9;0.033;41;142;0.98912;2.29;0.42;12.8
4905;30;6.3;0.19;0.29;2;0.022;33;96;0.98902;2.04;0.54;12.8
4906;28;6;0.32;0.3;1.9;0.033;41;142;0.98912;2.29;0.42;12.8
4907;25;9.4;0.24;0.29;8.5;0.037;124;208;0.99395;1.9;0.38;11
4908;10;6.4;0.35;0.28;12.6;0.039;19;124;0.99539;2.2;0.43;10.6
4909;21;6.7;0.46;0.27;5.2;0.039;35;96;0.99129;2.16;0.44;12.4
4910;18;6.3;0.3;0.29;2.1;0.048;33;142;0.98956;2.22;0.46;12.9
4911;17;6;0.19;0.29;1.1;0.047;67;152;0.9916;2.54;0.59;11.1
4912;15;5.9;0.24;0.28;1.3;0.032;36;95;0.98889;2.08;0.64;12.9
4913;27;7.3;0.145;0.33;1.1;0.042;14;64;0.99012;2.1;0.37;11.8
4914;30;6.6;0.435;0.38;9.2;0.058;66;243;0.99833;2.23;0.54;9.1
4915;23;5.8;0.18;0.37;1.2;0.036;19;74;0.98853;2.09;0.49;12.7
4916;10;5.8;0.18;0.37;1.1;0.036;31;96;0.98942;2.16;0.48;12
4917;23;5.6;0.32;0.32;8.3;0.043;32;105;0.99266;2.24;0.47;11.2
4918;11;6.6;0.16;0.35;1.8;0.042;26;105;0.98962;2.19;0.75;12.4
4919;25;5.1;0.21;0.28;1.4;0.047;48;148;0.99168;2.5;0.49;10.4
4920;25;7.5;0.29;0.36;15.7;0.05;29;124;0.9968;2.06;0.54;10.4
4921;29;6;0.26;0.33;4.35;0.04;15;80;0.98934;2.29;0.5;12.7
4922;25;5.7;0.26;0.3;1.8;0.039;30;105;0.98995;2.48;0.52;12.5
4923;13;7.1;0.17;0.31;1.6;0.037;15;103;0.991;2.14;0.5;12
4924;11;6.9;0.17;0.3;2;0.047;13;117;0.99152;2.16;0.51;11.6
4925;19;6.8;0.25;0.28;5;0.035;42;126;0.99048;2.12;0.38;12.6
4926;22;6.6;0.17;0.28;1.8;0.042;62;178;0.99204;2.15;0.42;10.2
4927;26;5.8;0.17;0.36;1.3;0.036;11;70;0.99202;2.43;0.68;10.4
4928;21;6.4;0.24;0.29;1;0.038;18;122;0.9906;2.3;0.42;11.5
4929;12;6.7;0.21;0.34;1.4;0.049;36;112;0.99091;2.02;0.5;11
4930;12;6.7;0.23;0.33;8.1;0.048;45;176;0.99472;2.11;0.52;10.1
4931;14;6.8;0.23;0.32;8.6;0.046;47;159;0.99452;2.08;0.52;10.5
4932;23;6.5;0.22;0.28;3.7;0.059;29;151;0.99177;2.23;0.41;12.1
4933;12;5.1;0.165;0.22;5.7;0.047;42;146;0.9934;2.18;0.55;9.9
4934;11;6.6;0.425;0.25;2.35;0.034;23;87;0.99082;2.05;0.41;11.4
4935;27;6.9;0.38;0.29;13.65;0.048;52;189;0.99784;2;0.6;9.5
4936;27;6.9;0.38;0.29;13.65;0.048;52;189;0.99784;2;0.6;9.5
4937;16;6.9;0.38;0.29;13.65;0.048;52;189;0.99784;2;0.6;9.5
4938;21;7.2;0.27;0.28;15.2;0.046;6;41;0.99665;2.17;0.39;10.9
4939;19;7.6;0.17;0.27;4.6;0.05;23;98;0.99422;2.08;0.47;9.5
4940;22;6.2;0.3;0.31;1.2;0.048;19;125;0.98999;2.32;0.54;12.6
4941;11;7.6;0.17;0.27;4.6;0.05;23;98;0.99422;2.08;0.47;9.5
4942;11;6.5;0.26;0.32;6.65;0.059;34;104;0.99254;2.18;0.42;11.1
4943;21;6.9;0.36;0.28;13.55;0.048;51;189;0.99782;2;0.6;9.5
4944;22;6.9;0.38;0.29;13.65;0.048;52;189;0.99784;2;0.6;9.5
4945;19;6.8;0.18;0.24;9.8;0.058;64;188;0.9952;2.13;0.51;10.6
4946;30;6.7;0.18;0.24;10.3;0.057;64;185;0.99519;2.12;0.5;10.6
4947;26;6.6;0.16;0.21;6.7;0.055;43;157;0.99384;2.15;0.52;10.8
4948;23;7.2;0.27;0.28;15.2;0.046;6;41;0.99665;2.17;0.39;10.9
4949;23;6.4;0.17;0.27;9.9;0.047;26;101;0.99596;2.34;0.5;9.9
4950;14;7.2;0.22;0.28;7.2;0.06;41;132;0.9935;2.08;0.59;11.3
4951;12;6;0.22;0.28;1.1;0.034;47;90;0.98862;2.22;0.38;12.6
4952;17;6.7;0.36;0.28;8.3;0.034;29;81;0.99151;1.96;0.39;12.5
4953;15;6.5;0.43;0.28;11.25;0.032;31;87;0.9922;2.02;0.38;12.4
4954;30;5.9;0.2;0.28;12.8;0.038;29;132;0.99426;2.31;0.57;11.8
4955;12;5.3;0.32;0.23;9.65;0.026;26;119;0.99168;2.18;0.53;12.2
4956;10;6.8;0.2;0.28;12.6;0.048;54;136;0.99556;2.19;0.37;10.7
4957;15;6;0.22;0.33;12.2;0.033;25;97;0.99356;2.17;0.42;11.3
4958;28;6.7;0.36;0.28;8.3;0.034;29;81;0.99151;1.96;0.39;12.5
4959;19;6.5;0.43;0.28;11.25;0.032;31;87;0.9922;2.02;0.38;12.4
4960;28;7.1;0.18;0.49;1.3;0.033;12;72;0.99072;2.05;0.53;11.3
4961;27;6.4;0.17;0.27;9.9;0.047;26;101;0.99596;2.34;0.5;9.9
4962;28;7.2;0.22;0.28;7.2;0.06;41;132;0.9935;2.08;0.59;11.3
4963;10;6;0.22;0.28;1.1;0.034;47;90;0.98862;2.22;0.38;12.6
4964;12;6;0.2;0.26;1.1;0.033;38;67;0.98954;2.14;0.38;11.5
4965;27;7.6;0.2;0.26;4.8;0.033;26;76;0.99076;1.98;0.49;12.3
4966;28;6.2;0.3;0.21;1.1;0.032;31;111;0.9889;1.97;0.42;12.2
4967;20;6;0.29;0.25;1.4;0.033;30;114;0.98794;2.08;0.43;13.2
4968;13;6.6;0.18;0.28;1.7;0.041;53;161;0.99207;2.13;0.45;10.2
4969;16;7;0.22;0.28;10.6;0.039;32;117;0.99355;2.05;0.55;11.5
4970;12;6;0.29;0.25;1.4;0.033;30;114;0.98794;2.08;0.43;13.2
4971;11;6.2;0.3;0.21;1.1;0.032;31;111;0.9889;1.97;0.42;12.2
4972;18;5.6;0.15;0.26;5.55;0.051;51;139;0.99336;2.47;0.5;11
4973;18;6.9;0.28;0.24;2.1;0.034;49;121;0.98882;1.98;0.43;13.2
4974;21;5.9;0.19;0.21;1.7;0.045;57;135;0.99341;2.32;0.44;9.5
4975;18;7.8;0.22;0.26;9;0.047;38;132;0.997;2.25;0.53;10.2
4976;18;6.6;0.18;0.28;1.7;0.041;53;161;0.99207;2.13;0.45;10.2
4977;15;7;0.4;0.25;1.8;0.05;51;189;0.99174;2;0.55;11.4
4978;26;6.1;0.28;0.27;4.7;0.03;56;140;0.99042;2.16;0.42;12.5
4979;22;7.6;0.36;0.49;11.3;0.046;87;221;0.9984;2.01;0.43;9.2
4980;20;6.5;0.28;0.34;3.6;0.04;29;121;0.99111;2.28;0.48;12.1
4981;23;6.9;0.19;0.35;6.9;0.045;51;125;0.9933;2.1;0.44;10.7
4982;10;6.5;0.28;0.34;3.6;0.04;29;121;0.99111;2.28;0.48;12.1
4983;20;6.4;0.22;0.32;4.9;0.046;50;156;0.99316;2.38;0.55;11.2
4984;21;6.8;0.23;0.3;6.95;0.044;42;179;0.9946;2.25;0.56;10.6
4985;23;6.4;0.32;0.31;1.9;0.037;34;126;0.99;2.06;0.45;11.8
4986;30;6.1;0.28;0.27;4.7;0.03;56;140;0.99042;2.16;0.42;12.5
4987;27;7.6;0.36;0.49;11.3;0.046;87;221;0.9984;2.01;0.43;9.2
4988;18;8.8;0.39;0.35;1.8;0.096;22;80;0.99016;1.95;0.54;12.6
4989;14;6.6;0.24;0.3;11.3;0.026;11;77;0.99381;2.13;0.55;12.8
4990;19;6.9;0.29;0.3;8.2;0.026;35;112;0.99144;2;0.37;12.3
4991;17;6.9;0.28;0.3;8.3;0.026;37;113;0.99139;1.99;0.38;12.3
4992;13;6.7;0.38;0.26;9.55;0.036;35;91;0.9919;1.98;0.37;12.4
4993;26;8;0.28;0.3;8.4;0.03;35;115;0.99192;1.93;0.42;12.3
4994;17;6.5;0.25;0.45;7.8;0.048;52;188;0.99576;2.2;0.53;9.1
4995;29;6.6;0.26;0.46;7.8;0.047;48;186;0.9958;2.2;0.54;9.1
4996;21;7.4;0.29;0.28;10.2;0.032;43;138;0.9951;2.1;0.47;10.6
4997;26;6.3;0.19;0.29;5.5;0.042;44;189;0.99304;2.19;0.47;10.3
4998;28;6.1;0.33;0.32;7.8;0.052;52;183;0.99657;2.39;0.65;9.5
4999;19;5.6;0.32;0.33;7.4;0.037;25;95;0.99268;2.25;0.49;11.1
5000;15;7.7;0.46;0.18;3.3;0.054;18;143;0.99392;2.12;0.51;10.8
5001;19;8.8;0.19;0.3;5;0.028;34;120;0.99242;1.94;0.47;11.2
5002;25;7.7;0.46;0.18;3.3;0.054;18;143;0.99392;2.12;0.51;10.8
5003;20;8.8;0.27;0.25;5;0.024;52;99;0.9925;1.87;0.49;11.4
5004;24;5.8;0.18;0.28;1.3;0.034;9;94;0.99092;2.21;0.52;11.2
5005;13;5.8;0.15;0.32;1.2;0.037;14;119;0.99137;2.19;0.5;10.2
5006;17;5.6;0.32;0.33;7.4;0.037;25;95;0.99268;2.25;0.49;11.1
5007;18;6.1;0.33;0.32;7.8;0.052;52;183;0.99657;2.39;0.65;9.5
5008;10;7.1;0.32;0.3;9.9;0.041;63;192;0.99642;2.12;0.49;10.2
5009;12;6.2;0.23;0.35;0.7;0.051;24;111;0.9916;2.37;0.43;11
5010;27;8.9;0.3;0.35;4.6;0.032;32;148;0.99458;2.15;0.45;11.5
5011;17;6;0.14;0.17;5.6;0.036;37;127;0.99373;2.05;0.57;9.8
5012;11;6.8;0.24;0.29;9.5;0.042;56;157;0.99586;2.11;0.51;10.1
5013;15;6.7;0.21;0.48;14.8;0.05;31;195;0.99942;1.95;0.75;8.8
5014;21;8.9;0.3;0.35;4.6;0.032;32;148;0.99458;2.15;0.45;11.5
5015;22;6.1;0.3;0.3;2.1;0.031;50;163;0.9895;2.39;0.43;12.7
5016;26;7.2;0.37;0.4;11.6;0.032;34;214;0.9963;2.1;0.51;9.8
5017;29;6.7;0.64;0.3;1.2;0.03;18;76;0.9892;2.16;0.6;12.9
5018;29;7.2;0.37;0.4;11.6;0.032;34;214;0.9963;2.1;0.51;9.8
5019;27;6.1;0.3;0.3;2.1;0.031;50;163;0.9895;2.39;0.43;12.7
5020;16;7.6;0.28;0.49;20.15;0.06;30;145;1.00196;2.01;0.44;8.5
5021;29;6.3;0.29;0.28;4.7;0.059;28;81;0.99036;2.24;0.56;12.7
5022;13;6.2;0.28;0.28;4.3;0.026;22;105;0.989;1.98;0.64;13.1
5023;20;7.1;0.18;0.39;14.5;0.051;48;156;0.99947;2.35;0.78;9.1
5024;26;6.4;0.32;0.27;4.9;0.034;18;122;0.9916;2.36;0.71;12.5
5025;18;7.1;0.17;0.4;14.55;0.047;47;156;0.99945;2.34;0.78;9.1
5026;19;7.1;0.17;0.4;14.55;0.047;47;156;0.99945;2.34;0.78;9.1
5027;21;5.8;0.24;0.26;10.05;0.039;63;162;0.99375;2.33;0.5;11.2
5028;30;6.4;0.32;0.27;4.9;0.034;18;122;0.9916;2.36;0.71;12.5
5029;12;7.1;0.18;0.39;14.5;0.051;48;156;0.99947;2.35;0.78;9.1
5030;12;7.1;0.17;0.4;14.55;0.047;47;156;0.99945;2.34;0.78;9.1
5031;24;7.1;0.18;0.39;15.25;0.047;45;158;0.99946;2.34;0.77;9.1
5032;16;7.8;0.29;0.29;3.15;0.044;41;117;0.99153;2.24;0.35;11.5
5033;19;6.2;0.255;0.27;1.3;0.037;30;86;0.98834;2.05;0.59;12.9
5034;16;8.2;0.34;0.29;5.2;0.076;19;92;0.99138;1.95;0.39;12.5
5035;21;6.5;0.24;0.28;1.1;0.034;26;83;0.98928;2.25;0.33;12.3
5036;11;6.9;0.24;0.23;7.1;0.041;20;97;0.99246;2.1;0.85;11.4
5037;26;6.7;0.4;0.22;8.8;0.052;24;113;0.99576;2.22;0.45;9.4
5038;16;6.7;0.3;0.44;18.5;0.057;65;224;0.99956;2.11;0.53;9.1
5039;29;6.7;0.4;0.22;8.8;0.052;24;113;0.99576;2.22;0.45;9.4
5040;30;6.8;0.17;0.32;1.4;0.04;35;106;0.99026;2.16;0.66;12
5041;18;7.1;0.25;0.28;1.2;0.04;31;111;0.99174;2.18;0.53;11.1
5042;18;5.9;0.27;0.27;5;0.035;14;97;0.99058;2.1;0.33;11.8
5043;25;6;0.16;0.22;1.6;0.042;36;106;0.9905;2.24;0.32;11.4
5044;20;6.7;0.3;0.44;18.75;0.057;65;224;0.99956;2.11;0.53;9.1
5045;26;6.6;0.15;0.32;6;0.033;59;128;0.99192;2.19;0.71;12.1
5046;16;7.3;0.34;0.3;9.4;0.057;34;178;0.99554;2.15;0.44;10.4
5047;17;6;0.17;0.29;9.7;0.044;33;98;0.99536;2.12;0.36;9.2
5048;28;6.7;0.47;0.29;4.75;0.034;29;134;0.99056;2.29;0.46;13
5049;11;6.6;0.15;0.32;6;0.033;59;128;0.99192;2.19;0.71;12.1
5050;11;6.6;0.21;0.29;5.35;0.029;43;106;0.99112;1.93;0.43;11.5
5051;12;6.6;0.21;0.29;5.35;0.029;43;106;0.99112;1.93;0.43;11.5
5052;13;8;0.24;0.48;6.8;0.047;13;134;0.99616;2.23;0.7;10
5053;21;5.6;0.34;0.3;6.9;0.038;23;89;0.99266;2.25;0.49;11.1
5054;23;5.8;0.54;0;1.4;0.033;40;107;0.98918;2.26;0.35;12.4
5055;19;7.3;0.23;0.24;0.9;0.031;29;86;0.98926;1.9;0.38;12.2
5056;10;6;0.39;0.13;1.2;0.042;60;172;0.99114;2.06;0.52;10.6
5057;24;6.1;0.105;0.31;1.3;0.037;55;145;0.9912;2.41;0.41;11.1
5058;21;5.8;0.32;0.2;2.6;0.027;17;123;0.98936;2.36;0.78;13.9
5059;21;7.6;0.22;0.28;12;0.056;68;143;0.9983;1.99;0.3;9.2
5060;12;6.8;0.19;0.4;9.85;0.055;41;103;0.99532;1.98;0.56;10.5
5061;26;6.7;0.24;0.3;3.85;0.042;105;179;0.99189;2.04;0.59;11.3
5062;25;6.8;0.17;0.34;2;0.04;38;111;0.99;2.24;0.45;12.9
5063;26;6.2;0.3;0.31;1.6;0.035;40;106;0.98914;2.26;0.39;12.9
5064;15;6.9;0.29;0.41;7.8;0.046;52;171;0.99537;2.12;0.51;9.6
5065;19;6.8;0.19;0.34;1.9;0.04;41;108;0.99;2.25;0.45;12.9
5066;20;6.8;0.17;0.34;2;0.04;38;111;0.99;2.24;0.45;12.9
5067;15;6.6;0.24;0.27;10.3;0.047;54;219;0.99742;2.04;0.45;8.8
5068;23;6.6;0.16;0.36;1.1;0.031;27;93;0.98884;2.23;0.34;13.2
5069;14;7.6;0.22;0.28;12;0.056;68;143;0.9983;1.99;0.3;9.2
5070;17;6.7;0.24;0.3;3.85;0.042;105;179;0.99189;2.04;0.59;11.3
5071;10;6.8;0.19;0.4;9.85;0.055;41;103;0.99532;1.98;0.56;10.5
5072;21;6.7;0.16;0.36;2;0.045;24;131;0.99284;2.3;0.59;10.5
5073;26;6.5;0.3;0.27;4;0.038;37;97;0.99026;2.2;0.6;12.6
5074;17;6.5;0.22;0.19;1.1;0.064;36;191;0.99297;2.05;0.5;9.5
5075;13;6.2;0.36;0.45;10.4;0.06;22;184;0.99711;2.31;0.56;9.8
5076;24;6.2;0.37;0.24;6.1;0.032;19;86;0.98934;2.04;0.26;13.4
5077;27;7.6;0.31;0.24;1.8;0.037;39;150;0.9913;2.05;0.44;11.8
5078;14;6.2;0.36;0.45;10.4;0.06;22;184;0.99711;2.31;0.56;9.8
5079;17;5.9;0.32;0.28;4.7;0.039;34;94;0.98964;2.22;0.57;13.1
5080;14;6.5;0.3;0.27;4;0.038;37;97;0.99026;2.2;0.6;12.6
5081;22;5.8;0.22;0.3;1.1;0.047;36;131;0.992;2.26;0.45;10.4
5082;12;5.4;0.45;0.27;6.4;0.033;20;102;0.98944;2.22;0.27;13.4
5083;21;6.1;0.36;0.26;8.15;0.035;14;88;0.99031;2.06;0.27;13
5084;15;6.2;0.37;0.24;6.1;0.032;19;86;0.98934;2.04;0.26;13.4
5085;18;7.5;0.21;0.32;4.8;0.056;39;113;0.99393;2.11;0.52;10.2
5086;18;6.9;0.28;0.33;1.2;0.039;16;98;0.9904;2.07;0.39;11.7
5087;21;6.5;0.22;0.19;1.1;0.064;36;191;0.99297;2.05;0.5;9.5
5088;25;7.8;0.2;0.2;1.4;0.036;25;83;0.99088;2.03;0.46;11.7
5089;23;6.7;0.28;0.31;7.4;0.041;7;81;0.99254;2.04;0.47;11.4
5090;19;7.6;0.31;0.24;1.8;0.037;39;150;0.9913;2.05;0.44;11.8
5091;22;8;0.2;0.44;1;0.057;24;111;0.99158;2.09;0.32;11.2
5092;20;6;0.28;0.27;15.5;0.036;31;134;0.99408;2.19;0.44;13
5093;18;6;0.28;0.27;15.5;0.036;31;134;0.99408;2.19;0.44;13
5094;24;6.7;0.24;0.36;8.4;0.042;42;123;0.99473;2.34;0.52;10.9
