ID;Edad de la Persana Testing;Ingrediente_1;Ingrediente_2;Ingrediente_3;Sodio en mg;Gramos de aspartamo;Azucar Gramos;Gramos entre Azucar y otros endulcorantes;Densidad;pH;Litros de Cafeina;Grado de Colorante;Indice_Satisfaccion
800;23;9.4;0.5;0.34;3.6;0.082;5;14;0.9987;2.29;0.52;10.7;1
801;14;7.2;0.61;0.08;4;0.082;26;108;0.99641;2.25;0.51;9.4;0
802;13;8.6;0.55;0.09;3.3;0.068;8;17;0.99735;2.23;0.44;10;0
803;16;5.1;0.585;0;1.7;0.044;14;86;0.99264;2.56;0.94;12.9;1
804;21;7.7;0.56;0.08;2.5;0.114;14;46;0.9971;2.24;0.66;9.6;1
805;16;8.4;0.52;0.22;2.7;0.084;4;18;0.99682;2.26;0.57;9.9;1
806;20;8.2;0.28;0.4;2.4;0.052;4;10;0.99356;2.33;0.7;12.8;1
807;21;8.4;0.25;0.39;2;0.041;4;10;0.99386;2.27;0.71;12.5;1
808;12;8.2;0.28;0.4;2.4;0.052;4;10;0.99356;2.33;0.7;12.8;1
809;19;7.4;0.53;0.12;1.9;0.165;4;12;0.99702;2.26;0.86;9.2;0
810;21;7.6;0.48;0.31;2.8;0.07;4;15;0.99693;2.22;0.55;10.3;1
811;15;7.3;0.49;0.1;2.6;0.068;4;14;0.99562;2.3;0.47;10.5;0
812;28;12.9;0.5;0.55;2.8;0.072;7;24;1.00012;2.09;0.68;10.9;1
813;30;10.8;0.45;0.33;2.5;0.099;20;38;0.99818;2.24;0.71;10.8;0
814;10;6.9;0.39;0.24;2.1;0.102;4;7;0.99462;2.44;0.58;11.4;0
815;24;12.6;0.41;0.54;2.8;0.103;19;41;0.99939;2.21;0.76;11.3;1
816;14;10.8;0.45;0.33;2.5;0.099;20;38;0.99818;2.24;0.71;10.8;0
817;10;9.8;0.51;0.19;3.2;0.081;8;30;0.9984;2.23;0.58;10.5;1
818;21;10.8;0.29;0.42;1.6;0.084;19;27;0.99545;2.28;0.73;11.9;1
819;10;7.1;0.715;0;2.35;0.071;21;47;0.99632;2.29;0.45;9.4;0
820;10;9.1;0.66;0.15;3.2;0.097;9;59;0.99976;2.28;0.54;9.6;0
821;15;7;0.685;0;1.9;0.099;9;22;0.99606;2.34;0.6;9.7;0
822;10;4.9;0.42;0;2.1;0.048;16;42;0.99154;2.71;0.74;14;1
823;24;6.7;0.54;0.13;2;0.076;15;36;0.9973;2.61;0.64;9.8;0
824;22;6.7;0.54;0.13;2;0.076;15;36;0.9973;2.61;0.64;9.8;0
825;20;7.1;0.48;0.28;2.8;0.068;6;16;0.99682;2.24;0.53;10.3;0
826;28;7.1;0.46;0.14;2.8;0.076;15;37;0.99624;2.36;0.49;10.7;0
827;27;7.5;0.27;0.34;2.3;0.05;4;8;0.9951;2.4;0.64;11;1
828;17;7.1;0.46;0.14;2.8;0.076;15;37;0.99624;2.36;0.49;10.7;0
829;12;7.8;0.57;0.09;2.3;0.065;34;45;0.99417;2.46;0.74;12.7;1
830;25;5.9;0.61;0.08;2.1;0.071;16;24;0.99376;2.56;0.77;11.1;1
831;25;7.5;0.685;0.07;2.5;0.058;5;9;0.99632;2.38;0.55;10.9;0
832;24;5.9;0.61;0.08;2.1;0.071;16;24;0.99376;2.56;0.77;11.1;1
833;27;10.4;0.44;0.42;1.5;0.145;34;48;0.99832;2.38;0.86;9.9;0
834;26;11.6;0.47;0.44;1.6;0.147;36;51;0.99836;2.38;0.86;9.9;0
835;27;8.8;0.685;0.26;1.6;0.088;16;23;0.99694;2.32;0.47;9.4;0
836;13;7.6;0.665;0.1;1.5;0.066;27;55;0.99655;2.39;0.51;9.3;0
837;19;6.7;0.28;0.28;2.4;0.012;36;100;0.99064;2.26;0.39;11.7;1
838;12;6.7;0.28;0.28;2.4;0.012;36;100;0.99064;2.26;0.39;11.7;1
839;26;10.1;0.31;0.35;1.6;0.075;9;28;0.99672;2.24;0.83;11.2;1
840;12;6;0.5;0.04;2.2;0.092;13;26;0.99647;2.46;0.47;10;0
841;14;11.1;0.42;0.47;2.65;0.085;9;34;0.99736;2.24;0.77;12.1;1
842;23;6.6;0.66;0;3;0.115;21;31;0.99629;2.45;0.63;10.3;0
843;21;10.6;0.5;0.45;2.6;0.119;34;68;0.99708;2.23;0.72;10.9;1
844;11;7.1;0.685;0.35;2;0.088;9;92;0.9963;2.28;0.62;9.4;0
845;21;9.9;0.25;0.46;1.7;0.062;26;42;0.9959;2.18;0.83;10.6;1
846;21;6.4;0.64;0.21;1.8;0.081;14;31;0.99689;2.59;0.66;9.8;0
847;29;6.4;0.64;0.21;1.8;0.081;14;31;0.99689;2.59;0.66;9.8;0
848;22;7.4;0.68;0.16;1.8;0.078;12;39;0.9977;2.5;0.7;9.9;1
849;17;6.4;0.64;0.21;1.8;0.081;14;31;0.99689;2.59;0.66;9.8;0
850;26;6.4;0.63;0.21;1.6;0.08;12;32;0.99689;2.58;0.66;9.8;0
851;28;9.3;0.43;0.44;1.9;0.085;9;22;0.99708;2.28;0.55;9.5;0
852;14;9.3;0.43;0.44;1.9;0.085;9;22;0.99708;2.28;0.55;9.5;0
853;11;8;0.42;0.32;2.5;0.08;26;122;0.99801;2.22;1.07;9.7;0
854;20;9.3;0.36;0.39;1.5;0.08;41;55;0.99652;2.47;0.73;10.9;1
855;12;9.3;0.36;0.39;1.5;0.08;41;55;0.99652;2.47;0.73;10.9;1
856;11;7.6;0.735;0.02;2.5;0.071;10;14;0.99538;2.51;0.71;11.7;1
857;22;9.3;0.36;0.39;1.5;0.08;41;55;0.99652;2.47;0.73;10.9;1
858;28;8.2;0.26;0.34;2.5;0.073;16;47;0.99594;2.4;0.78;11.3;1
859;16;11.7;0.28;0.47;1.7;0.054;17;32;0.99686;2.15;0.67;10.6;1
860;27;6.8;0.56;0.22;1.8;0.074;15;24;0.99438;2.4;0.82;11.2;1
861;16;7.2;0.62;0.06;2.7;0.077;15;85;0.99746;2.51;0.54;9.5;0
862;26;5.8;1.01;0.66;2;0.039;15;88;0.99357;2.66;0.6;11.5;1
863;26;7.5;0.42;0.32;2.7;0.067;7;25;0.99628;2.24;0.44;10.4;0
864;30;7.2;0.62;0.06;2.5;0.078;17;84;0.99746;2.51;0.53;9.7;0
865;20;7.2;0.62;0.06;2.7;0.077;15;85;0.99746;2.51;0.54;9.5;0
866;13;7.2;0.635;0.07;2.6;0.077;16;86;0.99748;2.51;0.54;9.7;0
867;19;6.8;0.49;0.22;2.3;0.071;13;24;0.99438;2.41;0.83;11.3;1
868;15;6.9;0.51;0.23;2;0.072;13;22;0.99438;2.4;0.84;11.2;1
869;19;6.8;0.56;0.22;1.8;0.074;15;24;0.99438;2.4;0.82;11.2;1
870;29;7.6;0.63;0.03;2;0.08;27;43;0.99578;2.44;0.64;10.9;1
871;23;7.7;0.715;0.01;2.1;0.064;31;43;0.99371;2.41;0.57;11.8;1
872;21;6.9;0.56;0.03;1.5;0.086;36;46;0.99522;2.53;0.57;10.6;0
873;10;7.3;0.35;0.24;2;0.067;28;48;0.99576;2.43;0.54;10;0
874;15;9.1;0.21;0.37;1.6;0.067;6;10;0.99552;2.23;0.58;11.1;1
875;24;10.4;0.38;0.46;2.1;0.104;6;10;0.99664;2.12;0.65;11.8;1
876;12;8.8;0.31;0.4;2.8;0.109;7;16;0.99614;2.31;0.79;11.8;1
877;12;7.1;0.47;0;2.2;0.067;7;14;0.99517;2.4;0.58;10.9;0
878;20;7.7;0.715;0.01;2.1;0.064;31;43;0.99371;2.41;0.57;11.8;1
879;24;8.8;0.61;0.19;4;0.094;30;69;0.99787;2.22;0.5;10;1
880;10;7.2;0.6;0.04;2.5;0.076;18;88;0.99745;2.53;0.55;9.5;0
881;26;9.2;0.56;0.18;1.6;0.078;10;21;0.99576;2.15;0.49;9.9;0
882;27;7.6;0.715;0;2.1;0.068;30;35;0.99533;2.48;0.65;11.4;1
883;19;8.4;0.31;0.29;3.1;0.194;14;26;0.99536;2.22;0.78;12;1
884;21;7.2;0.6;0.04;2.5;0.076;18;88;0.99745;2.53;0.55;9.5;0
885;14;8.8;0.61;0.19;4;0.094;30;69;0.99787;2.22;0.5;10;1
886;21;8.9;0.75;0.14;2.5;0.086;9;30;0.99824;2.34;0.64;10.5;0
887;13;9;0.8;0.12;2.4;0.083;8;28;0.99836;2.33;0.65;10.4;1
888;28;10.7;0.52;0.38;2.6;0.066;29;56;0.99577;2.15;0.79;12.1;1
889;11;6.8;0.57;0;2.5;0.072;32;64;0.99491;2.43;0.56;11.2;1
890;21;10.7;0.9;0.34;6.6;0.112;23;99;1.00289;2.22;0.68;9.3;0
891;24;7.2;0.34;0.24;2;0.071;30;52;0.99576;2.44;0.58;10.1;0
892;19;7.2;0.66;0.03;2.3;0.078;16;86;0.99743;2.53;0.57;9.7;0
893;20;10.1;0.45;0.23;1.9;0.082;10;18;0.99774;2.22;0.65;9.3;1
894;30;7.2;0.66;0.03;2.3;0.078;16;86;0.99743;2.53;0.57;9.7;0
895;13;7.2;0.63;0.03;2.2;0.08;17;88;0.99745;2.53;0.58;9.8;1
896;30;7.1;0.59;0.01;2.3;0.08;27;43;0.9955;2.42;0.58;10.7;1
897;14;8.3;0.31;0.39;2.4;0.078;17;43;0.99444;2.31;0.77;12.5;1
898;11;7.1;0.59;0.01;2.3;0.08;27;43;0.9955;2.42;0.58;10.7;1
899;11;8.3;0.31;0.39;2.4;0.078;17;43;0.99444;2.31;0.77;12.5;1
900;18;8.3;1.02;0.02;3.4;0.084;6;11;0.99892;2.48;0.49;11;0
901;17;8.9;0.31;0.36;2.6;0.056;10;39;0.99562;2.4;0.69;11.8;0
902;16;7.4;0.635;0.1;2.4;0.08;16;33;0.99736;2.58;0.69;10.8;1
903;15;7.4;0.635;0.1;2.4;0.08;16;33;0.99736;2.58;0.69;10.8;1
904;26;6.8;0.59;0.06;6;0.06;11;18;0.9962;2.41;0.59;10.8;1
905;16;6.8;0.59;0.06;6;0.06;11;18;0.9962;2.41;0.59;10.8;1
906;13;9.2;0.58;0.2;3;0.081;15;115;0.998;2.23;0.59;9.5;0
907;20;7.2;0.54;0.27;2.6;0.084;12;78;0.9964;2.39;0.71;11;0
908;16;6.1;0.56;0;2.2;0.079;6;9;0.9948;2.59;0.54;11.5;1
909;13;7.4;0.52;0.13;2.4;0.078;34;61;0.99528;2.43;0.59;10.8;1
910;13;7.3;0.305;0.39;1.2;0.059;7;11;0.99331;2.29;0.52;11.5;1
911;22;9.3;0.38;0.48;3.8;0.132;3;11;0.99577;2.23;0.57;13.2;1
912;24;9.1;0.28;0.46;9;0.114;3;9;0.99901;2.18;0.6;10.9;1
913;17;10;0.46;0.44;2.9;0.065;4;8;0.99674;2.33;0.62;12.2;1
914;10;9.4;0.395;0.46;4.6;0.094;3;10;0.99639;2.27;0.64;12.2;1
915;25;7.3;0.305;0.39;1.2;0.059;7;11;0.99331;2.29;0.52;11.5;1
916;18;8.6;0.315;0.4;2.2;0.079;3;6;0.99512;2.27;0.67;11.9;1
917;25;5.3;0.715;0.19;1.5;0.161;7;62;0.99395;2.62;0.61;11;0
918;28;6.8;0.41;0.31;8.8;0.084;26;45;0.99824;2.38;0.64;10.1;1
919;16;8.4;0.36;0.32;2.2;0.081;32;79;0.9964;2.3;0.72;11;1
920;22;8.4;0.62;0.12;1.8;0.072;38;46;0.99504;2.38;0.89;11.8;1
921;28;9.6;0.41;0.37;2.3;0.091;10;23;0.99786;2.24;0.56;10.5;0
922;29;8.4;0.36;0.32;2.2;0.081;32;79;0.9964;2.3;0.72;11;1
923;19;8.4;0.62;0.12;1.8;0.072;38;46;0.99504;2.38;0.89;11.8;1
924;13;6.8;0.41;0.31;8.8;0.084;26;45;0.99824;2.38;0.64;10.1;1
925;21;8.6;0.47;0.27;2.3;0.055;14;28;0.99516;2.18;0.8;11.2;0
926;25;8.6;0.22;0.36;1.9;0.064;53;77;0.99604;2.47;0.87;11;1
927;29;9.4;0.24;0.33;2.3;0.061;52;73;0.99786;2.47;0.9;10.2;1
928;29;8.4;0.67;0.19;2.2;0.093;11;75;0.99736;2.2;0.59;9.2;0
929;30;8.6;0.47;0.27;2.3;0.055;14;28;0.99516;2.18;0.8;11.2;0
930;15;8.7;0.33;0.38;3.3;0.063;10;19;0.99468;2.3;0.73;12;1
931;22;6.6;0.61;0.01;1.9;0.08;8;25;0.99746;2.69;0.73;10.5;0
932;20;7.4;0.61;0.01;2;0.074;13;38;0.99748;2.48;0.65;9.8;0
933;28;7.6;0.4;0.29;1.9;0.078;29;66;0.9971;2.45;0.59;9.5;1
934;13;7.4;0.61;0.01;2;0.074;13;38;0.99748;2.48;0.65;9.8;0
935;21;6.6;0.61;0.01;1.9;0.08;8;25;0.99746;2.69;0.73;10.5;0
936;29;8.8;0.3;0.38;2.3;0.06;19;72;0.99543;2.39;0.72;11.8;1
937;13;8.8;0.3;0.38;2.3;0.06;19;72;0.99543;2.39;0.72;11.8;1
938;18;12;0.63;0.5;1.4;0.071;6;26;0.99791;2.07;0.6;10.4;0
939;18;7.2;0.38;0.38;2.8;0.068;23;42;0.99356;2.34;0.72;12.9;1
940;23;6.2;0.46;0.17;1.6;0.073;7;11;0.99425;2.61;0.54;11.4;0
941;11;9.6;0.33;0.52;2.2;0.074;13;25;0.99509;2.36;0.76;12.4;1
942;29;9.9;0.27;0.49;5;0.082;9;17;0.99484;2.19;0.52;12.5;1
943;23;10.1;0.43;0.4;2.6;0.092;13;52;0.99834;2.22;0.64;10;1
944;24;9.8;0.5;0.34;2.3;0.094;10;45;0.99864;2.24;0.6;9.7;1
945;23;8.3;0.3;0.49;3.8;0.09;11;24;0.99498;2.27;0.64;12.1;1
946;19;10.2;0.44;0.42;2;0.071;7;20;0.99566;2.14;0.79;11.1;1
947;28;10.2;0.44;0.58;4.1;0.092;11;24;0.99745;2.29;0.99;12;1
948;24;8.3;0.28;0.48;2.1;0.093;6;12;0.99408;2.26;0.62;12.4;1
949;11;8.9;0.12;0.45;1.8;0.075;10;21;0.99552;2.41;0.76;11.9;1
950;20;8.9;0.12;0.45;1.8;0.075;10;21;0.99552;2.41;0.76;11.9;1
951;21;8.9;0.12;0.45;1.8;0.075;10;21;0.99552;2.41;0.76;11.9;1
952;11;8.3;0.28;0.48;2.1;0.093;6;12;0.99408;2.26;0.62;12.4;1
953;17;8.2;0.31;0.4;2.2;0.058;6;10;0.99536;2.31;0.68;11.2;1
954;23;10.2;0.34;0.48;2.1;0.052;5;9;0.99458;2.2;0.69;12.1;1
955;23;7.6;0.43;0.4;2.7;0.082;6;11;0.99538;2.44;0.54;12.2;1
956;10;8.5;0.21;0.52;1.9;0.09;9;23;0.99648;2.36;0.67;10.4;0
957;27;9;0.36;0.52;2.1;0.111;5;10;0.99568;2.31;0.62;11.3;1
958;15;9.5;0.37;0.52;2;0.088;12;51;0.99613;2.29;0.58;11.1;1
959;30;6.4;0.57;0.12;2.3;0.12;25;36;0.99519;2.47;0.71;11.3;1
960;28;8;0.59;0.05;2;0.089;12;32;0.99735;2.36;0.61;10;0
961;12;8.5;0.47;0.27;1.9;0.058;18;38;0.99518;2.16;0.85;11.1;1
962;17;7.1;0.56;0.14;1.6;0.078;7;18;0.99592;2.27;0.62;9.3;0
963;21;6.6;0.57;0.02;2.1;0.115;6;16;0.99654;2.38;0.69;9.5;0
964;18;8.8;0.27;0.39;2;0.1;20;27;0.99546;2.15;0.69;11.2;1
965;14;8.5;0.47;0.27;1.9;0.058;18;38;0.99518;2.16;0.85;11.1;1
966;13;8.3;0.34;0.4;2.4;0.065;24;48;0.99554;2.34;0.86;11;1
967;29;9;0.38;0.41;2.4;0.103;6;10;0.99604;2.13;0.58;11.9;1
968;11;8.5;0.66;0.2;2.1;0.097;23;113;0.99733;2.13;0.48;9.2;0
969;24;9;0.4;0.43;2.4;0.068;29;46;0.9943;2.2;0.6;12.2;1
970;21;6.7;0.56;0.09;2.9;0.079;7;22;0.99669;2.46;0.61;10.2;0
971;25;10.4;0.26;0.48;1.9;0.066;6;10;0.99724;2.33;0.87;10.9;1
972;25;10.4;0.26;0.48;1.9;0.066;6;10;0.99724;2.33;0.87;10.9;1
973;12;10.1;0.38;0.5;2.4;0.104;6;13;0.99643;2.22;0.65;11.6;1
974;17;8.5;0.34;0.44;1.7;0.079;6;12;0.99605;2.52;0.63;10.7;0
975;15;8.8;0.33;0.41;5.9;0.073;7;13;0.99658;2.3;0.62;12.1;1
976;27;7.2;0.41;0.3;2.1;0.083;35;72;0.997;2.44;0.52;9.4;0
977;13;7.2;0.41;0.3;2.1;0.083;35;72;0.997;2.44;0.52;9.4;0
978;16;8.4;0.59;0.29;2.6;0.109;31;119;0.99801;2.15;0.5;9.1;0
979;28;7;0.4;0.32;3.6;0.061;9;29;0.99416;2.28;0.49;11.3;1
980;28;12.2;0.45;0.49;1.4;0.075;3;6;0.9969;2.13;0.63;10.4;0
981;21;9.1;0.5;0.3;1.9;0.065;8;17;0.99774;2.32;0.71;10.5;1
982;10;9.5;0.86;0.26;1.9;0.079;13;28;0.99712;2.25;0.62;10;0
983;19;7.3;0.52;0.32;2.1;0.07;51;70;0.99418;2.34;0.82;12.9;1
984;29;9.1;0.5;0.3;1.9;0.065;8;17;0.99774;2.32;0.71;10.5;1
985;23;12.2;0.45;0.49;1.4;0.075;3;6;0.9969;2.13;0.63;10.4;0
986;29;7.4;0.58;0;2;0.064;7;11;0.99562;2.45;0.58;11.3;1
987;17;9.8;0.34;0.39;1.4;0.066;3;7;0.9947;2.19;0.55;11.4;1
988;30;7.1;0.36;0.3;1.6;0.08;35;70;0.99693;2.44;0.5;9.4;0
989;26;7.7;0.39;0.12;1.7;0.097;19;27;0.99596;2.16;0.49;9.4;0
990;23;9.7;0.295;0.4;1.5;0.073;14;21;0.99556;2.14;0.51;10.9;1
991;21;7.7;0.39;0.12;1.7;0.097;19;27;0.99596;2.16;0.49;9.4;0
992;13;7.1;0.34;0.28;2;0.082;31;68;0.99694;2.45;0.48;9.4;0
993;18;6.5;0.4;0.1;2;0.076;30;47;0.99554;2.36;0.48;9.4;1
994;10;7.1;0.34;0.28;2;0.082;31;68;0.99694;2.45;0.48;9.4;0
995;18;10;0.35;0.45;2.5;0.092;20;88;0.99918;2.15;0.43;9.4;0
996;20;7.7;0.6;0.06;2;0.079;19;41;0.99697;2.39;0.62;10.1;1
997;14;5.6;0.66;0;2.2;0.087;3;11;0.99378;2.71;0.63;12.8;1
998;19;5.6;0.66;0;2.2;0.087;3;11;0.99378;2.71;0.63;12.8;1
999;16;8.9;0.84;0.34;1.4;0.05;4;10;0.99554;2.12;0.48;9.1;1
1000;22;6.4;0.69;0;1.65;0.055;7;12;0.99162;2.47;0.53;12.9;1
1001;10;7.5;0.43;0.3;2.2;0.062;6;12;0.99495;2.44;0.72;11.5;1
1002;23;9.9;0.35;0.38;1.5;0.058;31;47;0.99676;2.26;0.82;10.6;1
1003;22;9.1;0.29;0.33;2.05;0.063;13;27;0.99516;2.26;0.84;11.7;1
1004;29;6.8;0.36;0.32;1.8;0.067;4;8;0.9928;2.36;0.55;12.8;1
1005;15;8.2;0.43;0.29;1.6;0.081;27;45;0.99603;2.25;0.54;10.3;0
1006;23;6.8;0.36;0.32;1.8;0.067;4;8;0.9928;2.36;0.55;12.8;1
1007;22;9.1;0.29;0.33;2.05;0.063;13;27;0.99516;2.26;0.84;11.7;1
1008;12;9.1;0.3;0.34;2;0.064;12;25;0.99516;2.26;0.84;11.7;1
1009;22;8.9;0.35;0.4;3.6;0.11;12;24;0.99549;2.23;0.7;12;1
1010;17;9.6;0.5;0.36;2.8;0.116;26;55;0.99722;2.18;0.68;10.9;0
1011;12;8.9;0.28;0.45;1.7;0.067;7;12;0.99354;2.25;0.55;12.3;1
1012;11;8.9;0.32;0.31;2;0.088;12;19;0.9957;2.17;0.55;10.4;1
1013;20;7.7;1.005;0.15;2.1;0.102;11;32;0.99604;2.23;0.48;10;0
1014;29;7.5;0.71;0;1.6;0.092;22;31;0.99635;2.38;0.58;10;1
1015;15;8;0.58;0.16;2;0.12;3;7;0.99454;2.22;0.58;11.2;1
1016;29;10.5;0.39;0.46;2.2;0.075;14;27;0.99598;2.06;0.84;11.4;1
1017;25;8.9;0.38;0.4;2.2;0.068;12;28;0.99486;2.27;0.75;12.6;1
1018;20;8;0.18;0.37;0.9;0.049;36;109;0.99007;1.89;0.44;12.7;1
1019;12;8;0.18;0.37;0.9;0.049;36;109;0.99007;1.89;0.44;12.7;1
1020;20;7;0.5;0.14;1.8;0.078;10;23;0.99636;2.53;0.61;10.4;0
1021;16;11.3;0.36;0.66;2.4;0.123;3;8;0.99642;2.2;0.53;11.9;1
1022;18;11.3;0.36;0.66;2.4;0.123;3;8;0.99642;2.2;0.53;11.9;1
1023;15;7;0.51;0.09;2.1;0.062;4;9;0.99584;2.35;0.54;10.5;0
1024;19;8.2;0.32;0.42;2.3;0.098;3;9;0.99506;2.27;0.55;12.3;1
1025;28;7.7;0.58;0.01;1.8;0.088;12;18;0.99568;2.32;0.56;10.5;1
1026;21;8.6;0.83;0;2.8;0.095;17;43;0.99822;2.33;0.6;10.4;1
1027;12;7.9;0.31;0.32;1.9;0.066;14;36;0.99364;2.41;0.56;12.6;1
1028;11;6.4;0.795;0;2.2;0.065;28;52;0.99378;2.49;0.52;11.6;0
1029;19;7.2;0.34;0.21;2.5;0.075;41;68;0.99586;2.37;0.54;10.1;1
1030;30;7.7;0.58;0.01;1.8;0.088;12;18;0.99568;2.32;0.56;10.5;1
1031;28;7.1;0.59;0;2.1;0.091;9;14;0.99488;2.42;0.55;11.5;1
1032;21;7.3;0.55;0.01;1.8;0.093;9;15;0.99514;2.35;0.58;11;1
1033;11;8.1;0.82;0;4.1;0.095;5;14;0.99854;2.36;0.53;9.6;0
1034;18;7.5;0.57;0.08;2.6;0.089;14;27;0.99592;2.3;0.59;10.4;1
1035;15;8.9;0.745;0.18;2.5;0.077;15;48;0.99739;2.2;0.47;9.7;1
1036;21;10.1;0.37;0.34;2.4;0.085;5;17;0.99683;2.17;0.65;10.6;1
1037;25;7.6;0.31;0.34;2.5;0.082;26;35;0.99356;2.22;0.59;12.5;1
1038;12;7.3;0.91;0.1;1.8;0.074;20;56;0.99672;2.35;0.56;9.2;0
1039;19;8.7;0.41;0.41;6.2;0.078;25;42;0.9953;2.24;0.77;12.6;1
1040;24;8.9;0.5;0.21;2.2;0.088;21;39;0.99692;2.33;0.83;11.1;1
1041;25;7.4;0.965;0;2.2;0.088;16;32;0.99756;2.58;0.67;10.2;0
1042;12;6.9;0.49;0.19;1.7;0.079;13;26;0.99547;2.38;0.64;9.8;1
1043;23;8.9;0.5;0.21;2.2;0.088;21;39;0.99692;2.33;0.83;11.1;1
1044;28;9.5;0.39;0.41;8.9;0.069;18;39;0.99859;2.29;0.81;10.9;1
1045;15;6.4;0.39;0.33;3.3;0.046;12;53;0.99294;2.36;0.62;12.2;1
1046;22;6.9;0.44;0;1.4;0.07;32;38;0.99438;2.32;0.58;11.4;1
1047;10;7.6;0.78;0;1.7;0.076;33;45;0.99612;2.31;0.62;10.7;1
1048;18;7.1;0.43;0.17;1.8;0.082;27;51;0.99634;2.49;0.64;10.4;0
1049;19;9.3;0.49;0.36;1.7;0.081;3;14;0.99702;2.27;0.78;10.9;1
1050;26;9.3;0.5;0.36;1.8;0.084;6;17;0.99704;2.27;0.77;10.8;1
1051;23;7.1;0.43;0.17;1.8;0.082;27;51;0.99634;2.49;0.64;10.4;0
1052;18;8.5;0.46;0.59;1.4;0.414;16;45;0.99702;2.03;1.34;9.2;0
1053;30;5.6;0.605;0.05;2.4;0.073;19;25;0.99258;2.56;0.55;12.9;0
1054;15;8.3;0.33;0.42;2.3;0.07;9;20;0.99426;2.38;0.77;12.7;1
1055;23;8.2;0.64;0.27;2;0.095;5;77;0.99747;2.13;0.62;9.1;1
1056;27;8.2;0.64;0.27;2;0.095;5;77;0.99747;2.13;0.62;9.1;1
1057;15;8.9;0.48;0.53;4;0.101;3;10;0.99586;2.21;0.59;12.1;1
1058;10;7.6;0.42;0.25;3.9;0.104;28;90;0.99784;2.15;0.57;9.1;0
1059;18;9.9;0.53;0.57;2.4;0.093;30;52;0.9971;2.19;0.76;11.6;1
1060;11;8.9;0.48;0.53;4;0.101;3;10;0.99586;2.21;0.59;12.1;1
1061;19;11.6;0.23;0.57;1.8;0.074;3;8;0.9981;2.14;0.7;9.9;1
1062;14;9.1;0.4;0.5;1.8;0.071;7;16;0.99462;2.21;0.69;12.5;1
1063;20;8;0.38;0.44;1.9;0.098;6;15;0.9956;2.3;0.64;11.4;1
1064;15;10.2;0.29;0.65;2.4;0.075;6;17;0.99565;2.22;0.63;11.8;1
1065;14;8.2;0.74;0.09;2;0.067;5;10;0.99418;2.28;0.57;11.8;1
1066;10;7.7;0.61;0.18;2.4;0.083;6;20;0.9963;2.29;0.6;10.2;1
1067;29;6.6;0.52;0.08;2.4;0.07;13;26;0.99358;2.4;0.72;12.5;1
1068;13;11.1;0.31;0.53;2.2;0.06;3;10;0.99572;2.02;0.83;10.9;1
1069;25;11.1;0.31;0.53;2.2;0.06;3;10;0.99572;2.02;0.83;10.9;1
1070;11;8;0.62;0.35;2.8;0.086;28;52;0.997;2.31;0.62;10.8;0
1071;30;9.3;0.33;0.45;1.5;0.057;19;37;0.99498;2.18;0.89;11.1;1
1072;15;7.5;0.77;0.2;8.1;0.098;30;92;0.99892;2.2;0.58;9.2;0
1073;12;7.2;0.35;0.26;1.8;0.083;33;75;0.9968;2.4;0.58;9.5;1
1074;30;8;0.62;0.33;2.7;0.088;16;37;0.9972;2.31;0.58;10.7;1
1075;29;7.5;0.77;0.2;8.1;0.098;30;92;0.99892;2.2;0.58;9.2;0
1076;18;9.1;0.25;0.34;2;0.071;45;67;0.99769;2.44;0.86;10.2;1
1077;25;9.9;0.32;0.56;2;0.073;3;8;0.99534;2.15;0.73;11.4;1
1078;29;8.6;0.37;0.65;6.4;0.08;3;8;0.99817;2.27;0.58;11;0
1079;13;8.6;0.37;0.65;6.4;0.08;3;8;0.99817;2.27;0.58;11;0
1080;22;7.9;0.3;0.68;8.3;0.05;37.5;278;0.99316;2.01;0.51;12.3;1
1081;22;10.3;0.27;0.56;1.4;0.047;3;8;0.99471;2.16;0.51;11.8;1
1082;19;7.9;0.3;0.68;8.3;0.05;37.5;289;0.99316;2.01;0.51;12.3;1
1083;23;7.2;0.38;0.3;1.8;0.073;31;70;0.99685;2.42;0.59;9.5;1
1084;25;8.7;0.42;0.45;2.4;0.072;32;59;0.99617;2.33;0.77;12;1
1085;29;7.2;0.38;0.3;1.8;0.073;31;70;0.99685;2.42;0.59;9.5;1
1086;18;6.8;0.48;0.08;1.8;0.074;40;64;0.99529;2.12;0.49;9.6;0
1087;18;8.5;0.34;0.4;4.7;0.055;3;9;0.99738;2.38;0.66;11.6;1
1088;28;7.9;0.19;0.42;1.6;0.057;18;30;0.994;2.29;0.69;11.2;1
1089;16;11.6;0.41;0.54;1.5;0.095;22;41;0.99735;2.02;0.76;9.9;1
1090;12;11.6;0.41;0.54;1.5;0.095;22;41;0.99735;2.02;0.76;9.9;1
1091;19;10;0.26;0.54;1.9;0.083;42;74;0.99451;1.98;0.63;11.8;1
1092;18;7.9;0.34;0.42;2;0.086;8;19;0.99546;2.35;0.6;11.4;1
1093;19;7;0.54;0.09;2;0.081;10;16;0.99479;2.43;0.59;11.5;1
1094;10;9.2;0.31;0.36;2.2;0.079;11;31;0.99615;2.33;0.86;12;1
1095;17;6.6;0.725;0.09;5.5;0.117;9;17;0.99655;2.35;0.49;10.8;1
1096;27;9.4;0.4;0.47;2.5;0.087;6;20;0.99772;2.15;0.5;10.5;0
